module	entry	function	oracle_status	coverage_status	instruction_count	executed_instruction_count	conditional_branch_count	branch_edge_count	covered_branch_edge_count	missing_branch_edges
manu3	0x000121	xdb_manu3_init_protocol	natural_candidate_oracle_verified_codegen_mismatch	complete	14	14	0	0	0	-
manu3	0x000150	xdb_manu3_frame_step	natural_candidate_oracle_verified_codegen_mismatch	complete	17	17	1	2	2	-
manu3	0x00017c	xdb_manu3_anim_select_entry	natural_candidate_oracle_verified_codegen_accepted	complete	2	2	0	0	0	-
manu3	0x000181	xdb_manu3_anim_select	natural_candidate_oracle_verified_codegen_mismatch	complete	8	8	0	0	0	-
manu3	0x00019b	xdb_manu3_tween_step	natural_candidate_oracle_verified_codegen_mismatch	complete	58	58	9	18	18	-
manu3	0x0001df	xdb_manu3_tween_constructor	natural_candidate_oracle_verified_codegen_mismatch	complete	49	49	5	10	10	-
manu3	0x000270	xdb_manu3_matrix_build	natural_candidate_oracle_verified_codegen_mismatch	complete	198	198	2	4	4	-
manu3	0x000549	xdb_manu3_entity_project	natural_candidate_oracle_verified_codegen_mismatch	complete	104	104	14	28	28	-
manu3	0x0006f6	xdb_manu3_face_builder_next	natural_candidate_oracle_verified_codegen_mismatch	complete	2	2	0	0	0	-
manu3	0x000700	xdb_manu3_face_bucket_sort	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	543	396	75	150	78	0x085c->0x085e,0x085c->0x0864,0x0862->0x0855,0x0862->0x0864,0x0898->0x0849,0x08a2->0x088c,0x08b3->0x08b5,0x08bf->0x08d1,0x08cf->0x08c6,0x08f5->0x08ee,0x093b->0x093d,0x093b->0x0946,0x0944->0x0937,0x0944->0x0946,0x0957->0x0950,0x095e->0x0921,0x0977->0x09ce,0x097b->0x0a30,0x097f->0x09f3,0x0992->0x0994,0x0997->0x098d,0x0997->0x0999,0x09d7->0x09d9,0x09d7->0x09f3,0x0a00->0x0a04,0x0a00->0x0bc9,0x0a09->0x0a0b,0x0a09->0x0a1c,0x0a0e->0x0a04,0x0a0e->0x0a10,0x0a34->0x0a38,0x0a34->0x0bc3,0x0a3e->0x0a40,0x0a3e->0x0a89,0x0a52->0x0a54,0x0a52->0x0a60,0x0a5c->0x0a4e,0x0a5c->0x0a5e,0x0a78->0x0a7a,0x0a78->0x0a83,0x0a81->0x0a4e,0x0a81->0x0a83,0x0a8f->0x0a91,0x0a8f->0x0a9f,0x0ac9->0x0c91,0x0acd->0x0b2d,0x0ae5->0x0c91,0x0b0c->0x0b2d,0x0b27->0x0c91,0x0b2b->0x0b0e,0x0b39->0x0b6e,0x0b42->0x0b80,0x0b74->0x0b2d,0x0b76->0x0b0e,0x0bab->0x0b99,0x0bab->0x0bad,0x0bb8->0x0b2d,0x0bb8->0x0bbc,0x0bbc->0x0b0e,0x0bbc->0x0bc0,0x0be0->0x0c91,0x0be4->0x0c04,0x0bfe->0x0c91,0x0c02->0x0be6,0x0c10->0x0c44,0x0c4a->0x0c04,0x0c4c->0x0be6,0x0c89->0x0c04,0x0c8d->0x0be6,0x0d14->0x0d16,0x0d57->0x0d5b,0x0d76->0x0d7a
manu3	0x000d7d	xdb_manu3_face_activate	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	424	401	20	40	28	0x1187->0x118b,0x1191->0x118e,0x1197->0x118e,0x11af->0x118e,0x12e6->0x12e8,0x1341->0x1343,0x1347->0x1349,0x1347->0x135b,0x1351->0x1349,0x1353->0x1355,0x1359->0x1349,0x1359->0x135b
scrut	0x00022a	xdb_scrut_mouse_camera_step	natural_candidate_oracle_verified_codegen_mismatch	complete	70	69	12	24	24	-
scrut	0x000b55	xdb_scrut_method_slot_11_anchor_state	natural_candidate_oracle_verified_codegen_accepted	complete	5	5	0	0	0	-
scrut	0x000b65	xdb_scrut_method_slot_12_lower_state	natural_candidate_oracle_verified_codegen_mismatch	complete	4	4	0	0	0	-
scrut	0x001692	xdb_scrut_method_slot_2_4_dispatch_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	35	35	2	4	4	-
scrut	0x0012cc	xdb_scrut_method_slot_3_update_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	76	76	7	14	14	-
scrut	0x001b80	xdb_scrut_method_slot_8_apply_sample_delta	natural_candidate_oracle_verified_codegen_mismatch	complete	17	17	1	2	2	-
scrut	0x001bb0	xdb_scrut_method_slot_9_apply_scaled_sample_delta	natural_candidate_oracle_verified_codegen_mismatch	complete	18	18	1	2	2	-
scrut	0x001de7	xdb_scrut_method_noop	natural_candidate_oracle_verified_codegen_accepted	complete	1	1	0	0	0	-
scrut	0x001bfb	xdb_scrut_method_slot_13_resume_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	8	8	1	2	2	-
scrut	0x00034b	xdb_scrut_mouse_bounds_set	natural_candidate_oracle_verified_codegen_mismatch	complete	9	9	0	0	0	-
scrut	0x000305	xdb_scrut_vga_clear_and_sync	natural_candidate_oracle_verified_codegen_mismatch	complete	30	30	3	6	6	-
scrut	0x00035c	xdb_scrut_mouse_position_set	natural_candidate_oracle_verified_codegen_accepted	complete	5	5	0	0	0	-
scrut	0x000999	xdb_scrut_method_slot_6_wrap_positions	natural_candidate_oracle_verified_codegen_mismatch	complete	31	31	1	2	2	-
scrut	0x000966	xdb_scrut_method_slot_10_bounds_then_wrap	natural_candidate_oracle_verified_codegen_mismatch	complete	17	17	5	10	10	-
scrut	0x000a35	xdb_scrut_method_slot_1_wave_update_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	101	101	13	26	26	-
amer	0x001dd8	xdb_amer_camera_matrix_update	natural_candidate_oracle_verified_codegen_mismatch	complete	151	151	1	2	2	-
croolis	0x001e1d	xdb_croolis_camera_matrix_update	natural_candidate_oracle_verified_codegen_mismatch	complete	151	151	1	2	2	-
scrut	0x001edd	xdb_scrut_camera_matrix_update	natural_candidate_oracle_verified_codegen_mismatch	complete	151	151	1	2	2	-
amer	0x000355	xdb_amer_method_slot_7_palette_update	natural_candidate_oracle_verified_codegen_mismatch	complete	106	106	15	30	30	-
croolis	0x00036a	xdb_croolis_method_slot_7_palette_update	natural_candidate_oracle_verified_codegen_mismatch	complete	121	121	16	32	32	-
scrut	0x00036a	xdb_scrut_method_slot_7_palette_update	natural_candidate_oracle_verified_codegen_mismatch	complete	121	121	16	32	32	-
amer	0x002027	xdb_amer_transform_and_project	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	334	317	18	36	34	0x248f->0x2491,0x248f->0x249a
croolis	0x00206c	xdb_croolis_transform_and_project	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	334	317	18	36	34	0x24d4->0x24d6,0x24d4->0x24df
scrut	0x00212c	xdb_scrut_transform_and_project	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	334	317	18	36	34	0x2594->0x2596,0x2594->0x259f
amer	0x00059b	xdb_amer_project_primary_mesh_then_render	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	125	125	16	32	31	0x0710->0x0723
croolis	0x0005dc	xdb_croolis_project_primary_mesh_then_render	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	125	125	16	32	31	0x0751->0x0764
scrut	0x0005dc	xdb_scrut_project_primary_mesh_then_render	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	125	125	16	32	31	0x0751->0x0764
amer	0x000734	xdb_amer_render_starfield	natural_candidate_oracle_verified_codegen_mismatch	complete	154	154	15	30	30	-
croolis	0x000775	xdb_croolis_render_starfield	natural_candidate_oracle_verified_codegen_mismatch	complete	154	154	15	30	30	-
scrut	0x000775	xdb_scrut_render_starfield	natural_candidate_oracle_verified_codegen_mismatch	complete	154	154	15	30	30	-
amer	0x0024cf	xdb_amer_bucket_faces_then_render	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	61	61	10	20	19	0x254f->0x2562
croolis	0x002514	xdb_croolis_bucket_faces_then_render	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	67	67	11	22	21	0x259b->0x25ae
scrut	0x0025d4	xdb_scrut_bucket_faces_then_render	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	67	67	11	22	21	0x265b->0x266e
