component	entry	rust_path	rust_symbol
bloodprg	0x00a73e	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::initialize_bounds
bloodprg	0x00a757	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::reset
bloodprg	0x009f80	crates/commander-blood-game/src/native/bloodprg/presentation_resource.rs	presentation_resource_descriptor
bloodprg	0x00a0c3	crates/commander-blood-game/src/native/bloodprg/presentation_resource.rs	apply_presentation_palette_blocks
bloodprg	0x00a117	crates/commander-blood-game/src/native/bloodprg/presentation_resource.rs	synchronize_presentation_palette_snapshot
bloodprg	0x00a141	crates/commander-blood-game/src/native/bloodprg/presentation_resource.rs	close_owned_presentation_source
bloodprg	0x00a778	crates/commander-blood-game/src/native/bloodprg/presentation_resource.rs	apply_presentation_palette_blocks
bloodprg	0x00a622	crates/commander-blood-game/src/native/bloodprg/presentation_source.rs	read_presentation_entry_extent
bloodprg	0x00a642	crates/commander-blood-game/src/native/bloodprg/presentation_source.rs	load_initial_presentation_entry
bloodprg	0x00a664	crates/commander-blood-game/src/native/bloodprg/presentation_source.rs	append_presentation_source_bytes
bloodprg	0x00a4ed	crates/commander-blood-game/src/native/bloodprg/presentation_raster.rs	blit_presentation_rect
bloodprg	0x00aabc	crates/commander-blood-game/src/native/bloodprg/presentation_decode.rs	decode_presentation_pair_lz
bloodprg	0x00a914	crates/commander-blood-game/src/native/bloodprg/presentation_ad.rs	decode_presentation_ad
bloodprg	0x00a82c	crates/commander-blood-game/src/native/bloodprg/presentation_dispatch.rs	decode_presentation_payload
bloodprg	0x00a20c	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	presentation_entry_activation_request
bloodprg	0x00a552	crates/commander-blood-game/src/native/bloodprg/presentation_entry.rs	activate_presentation_entry
bloodprg	0x00a41a	crates/commander-blood-game/src/native/bloodprg/presentation_present.rs	present_active_entry
bloodprg	0x009f8e	crates/commander-blood-game/src/native/bloodprg/presentation_stream.rs	switch_presentation_resource
bloodprg	0x00a2ab	crates/commander-blood-game/src/native/bloodprg/presentation_refill.rs	refill_presentation_queue
bloodprg	0x00a15f	crates/commander-blood-game/src/native/bloodprg/presentation_sequence_load.rs	load_presentation_resource_sequence
bloodprg	0x00a1b4	crates/commander-blood-game/src/native/bloodprg/presentation_queue_service.rs	service_presentation_queue
bloodprg	0x009d10	crates/commander-blood-game/src/native/bloodprg/presentation_scene_dispatch.rs	dispatch_presentation_scene
